date,home_team,away_team,home_score,away_score,city,country,neutral,target
1930,5,75,0.0,3.0,83,16,1,2
1930,26,42,4.0,1.0,83,16,1,1
1930,8,78,1.0,2.0,83,16,1,2
1930,52,56,1.0,3.0,83,16,1,2
1930,2,25,1.0,0.0,83,16,1,1
1930,12,42,3.0,0.0,83,16,1,1
1930,6,78,0.0,4.0,83,16,1,2
1930,51,75,0.0,3.0,83,16,1,2
1930,76,52,1.0,0.0,83,16,0,1
1930,2,42,6.0,3.0,83,16,1,1
1930,12,25,1.0,0.0,83,16,1,1
1930,5,51,0.0,1.0,83,16,1,2
1930,6,8,0.0,4.0,83,16,1,2
1930,76,56,4.0,0.0,83,16,0,1
1930,2,12,3.0,1.0,83,16,1,1
1930,2,75,6.0,1.0,83,16,1,1
1930,76,78,6.0,1.0,83,16,0,1
1930,76,2,4.0,2.0,83,16,0,1
1934,2,67,2.0,3.0,12,6,1,2
1934,4,25,3.0,2.0,144,6,1,1
1934,5,27,2.0,5.0,36,6,1,2
1934,8,66,1.0,3.0,43,6,1,2
1934,19,56,2.0,1.0,143,6,1,1
1934,23,32,2.0,4.0,89,6,1,2
1934,38,75,7.0,1.0,116,6,0,1
1934,44,68,2.0,3.0,81,6,1,2
1934,4,32,2.0,1.0,12,6,1,1
1934,19,68,3.0,2.0,144,6,1,1
1934,28,67,2.0,1.0,81,6,1,1
1934,38,66,1.0,1.0,36,6,0,0
1934,38,66,1.0,0.0,36,6,0,1
1934,19,27,3.0,1.0,116,6,1,1
1934,38,4,1.0,0.0,81,6,0,1
1934,4,27,2.0,3.0,89,6,1,2
1934,38,18,2.0,1.0,116,6,0,1
1938,28,68,1.0,1.0,102,4,1,0
1938,8,53,6.0,5.0,136,4,1,1
1938,17,56,3.0,3.0,142,4,1,0
1938,19,44,3.0,0.0,63,4,1,1
1938,26,5,3.0,1.0,22,4,0,1
1938,33,34,6.0,0.0,113,4,1,1
1938,38,49,2.0,1.0,77,4,1,1
1938,17,56,2.0,1.0,142,4,1,1
1938,28,68,2.0,4.0,102,4,1,2
1938,8,18,1.0,1.0,13,4,1,0
1938,17,67,0.0,8.0,1,4,1,2
1938,26,37,1.0,3.0,22,4,0,2
1938,33,68,2.0,0.0,67,4,1,1
1938,8,18,2.0,1.0,13,4,1,1
1938,8,37,1.0,2.0,77,4,1,2
1938,33,67,5.0,1.0,102,4,1,1
1938,8,67,4.0,2.0,13,4,1,1
1938,33,37,2.0,4.0,22,4,1,2
1950,8,42,4.0,0.0,115,1,0,1
1950,12,24,0.0,2.0,115,1,1,2
1950,38,67,2.0,3.0,140,1,1,2
1950,66,75,3.0,1.0,24,1,1,1
1950,68,78,0.0,3.0,6,1,1,2
1950,8,68,2.0,2.0,140,1,0,0
1950,42,78,1.0,4.0,107,1,1,2
1950,12,66,0.0,2.0,115,1,1,2
1950,25,75,0.0,1.0,6,1,1,2
1950,51,67,2.0,2.0,24,1,1,0
1950,8,78,2.0,0.0,115,1,0,1
1950,6,76,0.0,8.0,6,1,1,2
1950,12,75,5.0,2.0,112,1,1,1
1950,25,66,0.0,1.0,115,1,1,2
1950,38,51,2.0,0.0,140,1,1,1
1950,42,68,1.0,2.0,107,1,1,2
1950,8,67,7.0,1.0,115,1,0,1
1950,66,76,2.0,2.0,140,1,1,0
1950,8,66,6.0,1.0,115,1,0,1
1950,67,76,2.0,3.0,140,1,1,2
1950,8,76,1.0,2.0,115,1,0,2
1950,66,67,1.0,3.0,140,1,1,2
1954,4,59,1.0,0.0,158,14,1,1
1954,8,42,5.0,0.0,42,14,1,1
1954,19,76,0.0,2.0,8,14,1,2
1954,26,78,0.0,1.0,62,14,1,2
1954,5,24,4.0,4.0,5,14,1,0
1954,28,72,4.0,1.0,8,14,1,1
1954,33,65,9.0,0.0,158,14,1,1
1954,68,37,2.0,1.0,62,14,0,1
1954,4,18,5.0,0.0,158,14,1,1
1954,8,78,1.0,1.0,62,14,1,0
1954,26,42,3.0,2.0,42,14,1,1
1954,59,76,0.0,7.0,5,14,1,2
1954,5,37,1.0,4.0,70,14,1,2
1954,28,32,3.0,8.0,5,14,1,2
1954,65,72,0.0,7.0,42,14,1,2
1954,68,24,0.0,2.0,8,14,0,2
1954,28,72,7.0,2.0,158,14,1,1
1954,68,37,4.0,1.0,5,14,0,1
1954,25,76,2.0,4.0,5,14,1,2
1954,68,4,5.0,7.0,62,14,0,2
1954,8,32,2.0,4.0,8,14,1,2
1954,28,78,2.0,0.0,42,14,1,1
1954,4,27,1.0,6.0,5,14,1,2
1954,33,76,4.0,2.0,62,14,1,1
1954,4,76,3.0,1.0,158,14,1,1
1954,28,32,3.0,2.0,8,14,1,1
1958,2,27,1.0,3.0,73,13,1,2
1958,4,8,0.0,3.0,145,13,1,2
1958,19,48,0.0,1.0,48,13,1,2
1958,25,57,2.0,2.0,45,13,1,0
1958,26,51,7.0,3.0,95,13,1,1
1958,33,77,1.0,1.0,126,13,1,0
1958,59,78,1.0,1.0,154,13,1,0
1958,67,42,3.0,0.0,135,13,0,1
1958,2,48,3.0,1.0,48,13,1,1
1958,4,57,0.0,2.0,14,13,1,2
1958,8,24,0.0,0.0,45,13,1,0
1958,19,27,2.0,2.0,51,13,1,0
1958,26,78,2.0,3.0,154,13,1,2
1958,42,77,1.0,1.0,135,13,1,0
1958,51,59,3.0,2.0,95,13,1,1
1958,67,32,2.0,1.0,135,13,0,1
1958,2,18,1.0,6.0,51,13,1,2
1958,4,24,2.0,2.0,14,13,1,0
1958,8,57,2.0,0.0,45,13,1,1
1958,26,59,2.0,1.0,159,13,1,1
1958,28,48,2.0,2.0,73,13,1,0
1958,33,42,4.0,0.0,126,13,1,1
1958,51,78,3.0,3.0,35,13,1,0
1958,67,77,0.0,0.0,135,13,0,0
1958,19,48,1.0,2.0,73,13,1,2
1958,25,57,0.0,1.0,45,13,1,2
1958,33,77,1.0,2.0,135,13,1,2
1958,8,77,1.0,0.0,45,13,1,1
1958,26,48,4.0,0.0,95,13,1,1
1958,28,78,1.0,0.0,73,13,1,1
1958,67,57,2.0,0.0,135,13,0,1
1958,8,25,5.0,2.0,135,13,1,1
1958,67,27,3.0,1.0,45,13,0,1
1958,26,27,6.0,3.0,45,13,1,1
1958,67,8,2.0,5.0,135,13,0,2
1962,2,9,1.0,0.0,111,2,1,1
1962,8,42,2.0,0.0,152,2,1,1
1962,12,68,3.0,1.0,127,2,0,1
1962,14,76,1.0,2.0,2,2,1,2
1962,19,66,1.0,0.0,152,2,1,1
1962,25,32,1.0,2.0,111,2,1,2
1962,28,37,0.0,0.0,127,2,1,0
1962,57,78,2.0,0.0,2,2,1,1
1962,2,24,1.0,3.0,111,2,1,2
1962,8,18,0.0,0.0,152,2,1,0
1962,12,37,2.0,0.0,127,2,0,1
1962,76,78,1.0,3.0,2,2,1,2
1962,9,32,1.0,6.0,111,2,1,2
1962,14,57,4.0,4.0,2,2,1,0
1962,28,68,2.0,1.0,127,2,1,1
1962,42,66,0.0,1.0,152,2,1,2
1962,2,32,0.0,0.0,111,2,1,0
1962,8,66,2.0,1.0,152,2,1,1
1962,12,27,0.0,2.0,127,2,0,2
1962,57,76,2.0,1.0,2,2,1,1
1962,9,24,0.0,0.0,111,2,1,0
1962,14,78,0.0,5.0,2,2,1,2
1962,19,42,1.0,3.0,152,2,1,2
1962,38,68,3.0,0.0,127,2,1,1
1962,8,24,3.0,1.0,152,2,1,1
1962,12,57,2.0,1.0,2,2,0,1
1962,19,32,1.0,0.0,111,2,1,1
1962,28,78,0.0,1.0,127,2,1,2
1962,12,8,2.0,4.0,127,2,0,2
1962,19,78,3.0,1.0,152,2,1,1
1962,12,78,1.0,0.0,127,2,0,1
1962,8,18,3.0,1.0,127,2,1,1
1966,25,76,0.0,0.0,69,3,0,0
1966,8,9,2.0,0.0,68,3,1,1
1966,28,68,5.0,0.0,133,3,1,1
1966,47,57,0.0,3.0,80,3,1,2
1966,2,66,2.0,1.0,10,3,1,1
1966,12,37,0.0,2.0,138,3,1,2
1966,26,42,1.0,1.0,69,3,1,0
1966,33,54,1.0,3.0,75,3,1,2
1966,8,32,1.0,3.0,68,3,1,2
1966,12,47,1.0,1.0,80,3,1,0
1966,26,76,1.0,2.0,69,3,1,2
1966,66,68,2.0,1.0,133,3,1,1
1966,2,27,0.0,0.0,10,3,1,0
1966,9,54,0.0,3.0,75,3,1,2
1966,25,42,2.0,0.0,69,3,0,1
1966,38,57,0.0,1.0,138,3,1,2
1966,2,68,2.0,0.0,133,3,1,1
1966,8,54,1.0,3.0,68,3,1,2
1966,38,47,0.0,1.0,80,3,1,2
1966,42,76,0.0,0.0,69,3,1,0
1966,9,32,1.0,3.0,75,3,1,2
1966,12,57,1.0,2.0,138,3,1,2
1966,25,25,2.0,0.0,69,3,0,1
1966,28,66,2.0,1.0,10,3,1,1
1966,25,2,1.0,0.0,69,3,0,1
1966,28,76,4.0,0.0,133,3,1,1
1966,33,57,1.0,2.0,138,3,1,2
1966,47,54,3.0,5.0,68,3,1,2
1966,28,57,2.0,1.0,68,3,1,1
1966,25,54,2.0,1.0,69,3,0,1
1966,54,57,2.0,1.0,69,3,1,1
1966,25,27,4.0,2.0,69,3,0,1
1970,42,57,0.0,0.0,79,8,0,0
1970,9,52,2.0,3.0,66,8,1,2
1970,25,56,1.0,0.0,46,8,1,1
1970,37,76,0.0,2.0,109,8,1,2
1970,5,23,3.0,0.0,79,8,1,1
1970,8,18,4.0,1.0,46,8,1,1
1970,28,43,2.0,1.0,66,8,1,1
1970,38,67,1.0,0.0,141,8,1,1
1970,5,57,1.0,4.0,79,8,1,2
1970,19,56,1.0,2.0,46,8,1,2
1970,38,76,0.0,0.0,109,8,1,0
1970,43,52,0.0,3.0,66,8,1,2
1970,8,24,1.0,0.0,46,8,1,1
1970,9,27,2.0,5.0,66,8,1,2
1970,37,67,1.0,1.0,141,8,1,0
1970,42,23,4.0,0.0,79,8,0,1
1970,8,56,3.0,2.0,46,8,1,1
1970,24,57,0.0,2.0,79,8,1,2
1970,28,52,3.0,1.0,66,8,1,1
1970,67,76,1.0,0.0,109,8,1,1
1970,9,43,1.0,1.0,66,8,1,0
1970,19,24,0.0,1.0,46,8,1,2
1970,37,37,0.0,0.0,141,8,1,0
1970,42,5,1.0,0.0,79,8,0,1
1970,8,52,4.0,2.0,46,8,1,1
1970,25,27,2.0,3.0,66,8,1,2
1970,42,37,1.0,4.0,141,8,0,2
1970,57,76,0.0,1.0,79,8,1,2
1970,8,76,3.0,1.0,46,8,1,1
1970,28,37,3.0,4.0,79,8,1,2
1970,28,76,1.0,0.0,79,8,1,1
1970,8,37,4.0,1.0,79,8,1,1
1974,8,78,0.0,0.0,39,5,1,0
1974,20,59,0.0,2.0,29,5,1,2
1974,27,3,2.0,0.0,49,5,1,1
1974,28,12,1.0,0.0,7,5,0,1
1974,38,30,3.0,1.0,86,5,1,1
1974,53,2,3.0,2.0,137,5,1,1
1974,67,9,0.0,0.0,31,5,1,0
1974,76,44,0.0,2.0,50,5,1,2
1974,12,26,1.0,1.0,7,5,1,0
1974,28,3,3.0,0.0,49,5,0,1
1974,59,8,0.0,0.0,39,5,1,0
1974,77,19,9.0,0.0,41,5,1,1
1974,2,37,1.0,1.0,137,5,1,0
1974,9,76,1.0,1.0,50,5,1,0
1974,31,53,0.0,7.0,86,5,1,2
1974,44,67,0.0,0.0,29,5,1,0
1974,3,12,0.0,0.0,7,5,1,0
1974,20,8,0.0,3.0,41,5,1,2
1974,28,26,0.0,1.0,49,5,0,2
1974,59,78,1.0,1.0,39,5,1,0
1974,2,30,4.0,1.0,86,5,1,1
1974,9,44,1.0,4.0,29,5,1,2
1974,53,37,2.0,1.0,137,5,1,1
1974,67,76,3.0,0.0,31,5,1,1
1974,8,26,1.0,0.0,50,5,1,1
1974,28,78,2.0,0.0,31,5,0,1
1974,44,2,4.0,0.0,41,5,1,1
1974,67,53,0.0,1.0,137,5,1,2
1974,2,8,1.0,2.0,50,5,1,2
1974,27,44,0.0,2.0,41,5,1,2
1974,28,67,4.0,2.0,31,5,0,1
1974,53,78,2.0,1.0,39,5,1,1
1974,2,26,1.0,1.0,41,5,1,0
1974,28,53,1.0,0.0,39,5,0,1
1974,44,8,2.0,0.0,29,5,1,1
1974,67,78,2.0,1.0,31,5,1,1
1974,8,53,0.0,1.0,86,5,1,2
1974,28,44,2.0,1.0,86,5,0,1
1978,28,53,0.0,0.0,16,0,1,0
1978,2,32,2.0,1.0,16,0,0,1
1978,26,37,1.0,2.0,76,0,1,2
1978,42,71,1.0,3.0,117,0,1,2
1978,4,66,2.0,1.0,16,0,1,1
1978,8,67,1.0,1.0,76,0,1,0
1978,35,44,0.0,3.0,78,0,1,2
1978,52,59,3.0,1.0,25,0,1,1
1978,2,25,2.0,1.0,16,0,0,1
1978,28,42,6.0,0.0,25,0,1,1
1978,33,37,1.0,3.0,76,0,1,2
1978,53,71,1.0,0.0,117,0,1,1
1978,4,67,1.0,0.0,16,0,1,1
1978,8,66,0.0,0.0,76,0,1,0
1978,35,59,1.0,1.0,25,0,1,0
1978,44,52,0.0,0.0,78,0,1,0
1978,2,37,0.0,1.0,16,0,0,2
1978,26,32,3.0,1.0,76,0,1,1
1978,28,71,0.0,0.0,25,0,1,0
1978,42,53,1.0,3.0,117,0,1,2
1978,4,8,0.0,1.0,76,0,1,2
1978,35,52,1.0,4.0,25,0,1,2
1978,44,59,2.0,3.0,78,0,1,2
1978,66,67,1.0,0.0,16,0,1,1
1978,2,53,2.0,0.0,117,0,0,1
1978,4,44,1.0,5.0,25,0,1,2
1978,8,52,3.0,0.0,78,0,1,1
1978,28,37,0.0,0.0,16,0,1,0
1978,2,8,0.0,0.0,117,0,0,0
1978,4,37,0.0,1.0,16,0,1,2
1978,28,44,2.0,2.0,25,0,1,0
1978,52,53,0.0,1.0,78,0,1,2
1978,2,52,6.0,0.0,117,0,0,1
1978,4,27,3.0,2.0,25,0,1,1
1978,8,53,3.0,1.0,78,0,1,1
1978,38,44,1.0,2.0,16,0,1,2
1978,8,37,2.0,1.0,16,0,1,1
1978,2,44,3.0,1.0,16,0,0,1
1982,2,5,0.0,1.0,3,12,1,2
1982,8,57,2.0,1.0,132,12,1,1
1982,38,53,0.0,0.0,151,12,1,0
1982,33,23,10.0,1.0,34,12,1,1
1982,52,10,0.0,0.0,61,12,1,0
1982,59,45,5.0,2.0,87,12,1,1
1982,25,25,3.0,1.0,9,12,1,1
1982,28,0,1.0,2.0,44,12,1,2
1982,66,31,1.0,1.0,148,12,0,0
1982,12,4,0.0,1.0,99,12,1,2
1982,19,41,1.0,1.0,149,12,1,0
1982,77,48,0.0,0.0,157,12,1,0
1982,2,32,4.0,1.0,0,12,1,1
1982,8,59,4.0,1.0,132,12,1,1
1982,38,52,1.0,1.0,151,12,1,0
1982,5,23,1.0,0.0,34,12,1,1
1982,53,10,0.0,0.0,61,12,1,0
1982,57,45,3.0,0.0,87,12,1,1
1982,25,18,2.0,0.0,9,12,1,1
1982,28,12,4.0,1.0,44,12,1,1
1982,66,78,2.0,1.0,148,12,0,1
1982,0,4,0.0,2.0,99,12,1,2
1982,26,41,4.0,1.0,149,12,1,1
1982,32,48,1.0,1.0,157,12,1,0
1982,5,32,1.0,1.0,34,12,1,0
1982,53,52,5.0,1.0,61,12,1,1
1982,57,59,2.0,2.0,87,12,1,0
1982,2,23,2.0,0.0,0,12,1,1
1982,8,45,4.0,0.0,132,12,1,1
1982,38,10,1.0,1.0,151,12,1,0
1982,0,12,3.0,2.0,99,12,1,1
1982,26,18,1.0,1.0,149,12,1,0
1982,32,78,0.0,1.0,157,12,1,2
1982,25,41,1.0,0.0,9,12,1,1
1982,28,4,1.0,0.0,44,12,1,1
1982,66,48,0.0,1.0,148,12,0,2
1982,4,25,0.0,1.0,72,12,1,2
1982,53,5,3.0,0.0,3,12,1,1
1982,28,24,0.0,0.0,72,12,1,0
1982,38,2,2.0,1.0,3,12,1,1
1982,4,48,2.0,2.0,72,12,1,0
1982,5,57,0.0,1.0,3,12,1,2
1982,2,8,1.0,3.0,3,12,1,2
1982,66,27,1.0,2.0,72,12,0,2
1982,26,48,4.0,1.0,72,12,1,1
1982,53,57,0.0,0.0,3,12,1,0
1982,38,8,3.0,2.0,3,12,1,1
1982,66,24,0.0,0.0,72,12,0,0
1982,28,25,3.0,3.0,132,12,1,0
1982,53,37,0.0,2.0,3,12,1,2
1982,53,25,3.0,2.0,0,12,1,1
1982,38,27,3.0,1.0,72,12,1,1
1986,9,37,1.0,1.0,79,8,1,0
1986,11,25,0.0,1.0,66,8,1,2
1986,66,8,0.0,1.0,46,8,1,2
1986,2,65,3.0,1.0,79,8,1,1
1986,43,53,0.0,0.0,82,8,1,0
1986,57,32,6.0,0.0,53,8,1,1
1986,0,48,1.0,1.0,46,8,1,0
1986,42,5,2.0,1.0,79,8,0,1
1986,54,24,1.0,0.0,82,8,1,1
1986,51,36,1.0,0.0,141,8,1,1
1986,59,20,0.0,1.0,92,8,1,2
1986,76,27,1.0,1.0,110,8,1,0
1986,26,57,1.0,1.0,66,8,1,0
1986,38,2,1.0,1.0,109,8,1,0
1986,65,9,1.0,1.0,79,8,1,0
1986,8,0,1.0,0.0,46,8,1,1
1986,25,43,0.0,0.0,82,8,1,0
1986,33,11,2.0,0.0,53,8,1,1
1986,42,51,1.0,1.0,79,8,0,0
1986,48,66,1.0,2.0,46,8,1,2
1986,53,54,1.0,0.0,82,8,1,1
1986,21,76,6.0,1.0,92,8,1,1
1986,28,59,2.0,1.0,110,8,1,1
1986,36,5,1.0,2.0,141,8,1,2
1986,33,25,0.0,3.0,66,8,1,2
1986,57,11,2.0,0.0,53,8,1,1
1986,2,9,2.0,0.0,79,8,1,1
1986,65,37,2.0,3.0,109,8,1,2
1986,25,53,3.0,0.0,82,8,1,1
1986,42,36,1.0,0.0,79,8,0,1
1986,51,5,2.0,2.0,141,8,1,0
1986,54,43,1.0,3.0,46,8,1,2
1986,0,66,0.0,3.0,82,8,1,2
1986,48,8,0.0,3.0,46,8,1,2
1986,21,27,2.0,0.0,110,8,1,1
1986,59,76,0.0,0.0,92,8,1,0
1986,42,9,2.0,0.0,79,8,0,1
1986,57,5,3.0,4.0,66,8,1,2
1986,2,76,1.0,0.0,109,8,1,1
1986,8,53,4.0,0.0,46,8,1,1
1986,38,25,0.0,2.0,79,8,1,2
1986,43,27,0.0,1.0,82,8,1,2
1986,21,66,1.0,5.0,110,8,1,2
1986,25,51,3.0,0.0,79,8,1,1
1986,8,25,1.0,1.0,46,8,1,0
1986,42,27,0.0,0.0,82,8,0,0
1986,2,24,2.0,1.0,79,8,1,1
1986,66,5,1.0,1.0,109,8,1,0
1986,2,5,2.0,0.0,79,8,1,1
1986,26,27,0.0,2.0,46,8,1,2
1986,26,5,4.0,2.0,109,8,1,1
1986,2,27,3.0,2.0,79,8,1,1
1990,2,10,0.0,1.0,81,6,1,2
1990,38,4,1.0,0.0,116,6,0,1
1990,57,56,0.0,2.0,4,6,1,2
1990,74,14,0.0,2.0,12,6,1,2
1990,8,67,2.0,1.0,144,6,1,1
1990,28,78,4.0,1.0,81,6,1,1
1990,75,18,1.0,5.0,36,6,1,2
1990,15,59,1.0,0.0,43,6,1,1
1990,25,55,1.0,1.0,18,6,1,0
1990,5,65,2.0,0.0,150,6,1,1
1990,44,22,1.0,1.0,100,6,1,0
1990,2,57,2.0,0.0,89,6,1,1
1990,76,66,0.0,0.0,146,6,1,0
1990,10,56,2.0,1.0,4,6,1,1
1990,38,75,1.0,0.0,116,6,0,1
1990,77,14,1.0,0.0,12,6,1,1
1990,4,18,0.0,1.0,36,6,1,2
1990,28,74,5.0,1.0,81,6,1,1
1990,8,15,1.0,0.0,144,6,1,1
1990,25,44,0.0,0.0,18,6,1,0
1990,67,59,1.0,2.0,43,6,1,2
1990,5,76,3.0,1.0,150,6,1,1
1990,55,22,0.0,0.0,100,6,1,0
1990,65,66,1.0,3.0,146,6,1,2
1990,2,56,1.0,1.0,89,6,1,0
1990,10,57,0.0,4.0,4,6,1,2
1990,4,75,2.0,1.0,36,6,1,1
1990,28,14,1.0,1.0,81,6,1,0
1990,38,18,2.0,0.0,116,6,0,1
1990,77,74,4.0,1.0,12,6,1,1
1990,8,59,1.0,0.0,144,6,1,1
1990,67,15,1.0,2.0,43,6,1,2
1990,5,66,1.0,2.0,150,6,1,2
1990,25,22,1.0,0.0,18,6,1,1
1990,55,44,1.0,1.0,100,6,1,0
1990,65,76,0.0,1.0,146,6,1,2
1990,10,14,2.0,1.0,89,6,1,1
1990,19,15,4.0,1.0,4,6,1,1
